element,opponent_team,was_home,minutes,total_points,goals_scored,assists,expected_goals,expected_assists,clean_sheets,avg_minutes,avg_points,avg_goals,avg_xG,avg_assists,avg_xA,clean_sheets_last3,opponent_strength,element_type_1,element_type_2,element_type_3,element_type_4
3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,0,0,1,0
3,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,1,0
3,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9,0,0,1,0
3,19,0,23.0,1.0,0.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,0.33,0.0,0.03,0.0,0.0,0,0.1,0,0,1,0
3,15,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.67,0.33,0.0,0.03,0.0,0.0,0,0.7,0,0,1,0
3,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.67,0.0,0.03,0.0,0.0,0,0.1,0,0,1,0
3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0,0.3,0,0,1,0
3,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0,1.0,0,0,1,0
3,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0,1,0
3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
